ID,Actual Answer,Generated Answer
0,yes,no
1,yes,yes
2,no,no
3,yes,yes
4,no,no
5,yes,yes
6,yes,yes
7,no,yes
8,yes,yes
9,no,no
10,yes,yes
11,no,yes
12,yes,yes
13,no,yes
14,yes,yes
15,no,no
16,yes,no
17,no,no
18,yes,yes
19,no,no
20,yes,yes
21,no,yes
22,yes,yes
23,no,yes
24,yes,yes
25,no,no
26,yes,yes
27,yes,no
28,no,no
29,yes,yes
30,no,yes
31,yes,yes
32,no,no
33,yes,yes
34,yes,yes
35,no,yes
36,yes,yes
37,no,no
38,yes,yes
39,no,yes
40,yes,yes
41,yes,yes
42,no,no
43,no,no
44,yes,yes
45,yes,yes
46,no,yes
47,yes,yes
48,no,no
49,yes,yes
50,no,no
51,no,no
52,yes,yes
53,no,no
54,no,yes
55,no,yes
56,yes,yes
57,yes,yes
58,yes,no
59,no,no
60,yes,yes
61,yes,yes
62,no,no
63,yes,yes
64,no,yes
65,no,no
66,yes,yes
67,no,yes
68,yes,yes
69,no,no
70,yes,yes
71,no,no
72,yes,no
73,no,yes
74,yes,yes
75,yes,no
76,no,no
77,yes,yes
78,no,no
79,yes,yes
80,no,no
81,yes,no
82,no,yes
83,no,no
84,yes,no
85,no,no
86,yes,yes
87,no,no
88,yes,yes
89,no,no
90,yes,yes
91,no,no
92,yes,no
93,yes,yes
94,yes,yes
95,no,no
96,yes,no
97,no,yes
98,yes,no
99,no,no
100,no,no
101,yes,yes
102,yes,yes
103,yes,yes
104,yes,yes
105,yes,no
106,yes,no
107,yes,yes
108,no,no
109,yes,yes
110,no,no
111,yes,no
112,yes,yes
113,no,no
114,yes,yes
115,no,no
116,no,no
117,yes,yes
118,no,no
119,yes,yes
120,no,no
121,yes,yes
122,no,no
123,yes,yes
124,yes,yes
125,no,no
126,yes,no
127,yes,no
128,no,no
129,no,yes
130,yes,yes
131,no,no
132,yes,yes
133,no,no
134,yes,yes
135,no,no
136,yes,yes
137,yes,yes
138,yes,yes
139,no,no
140,yes,yes
141,yes,yes
142,no,no
143,yes,yes
144,no,no
145,yes,no
146,yes,yes
147,no,no
148,yes,no
149,no,no
150,no,yes
151,yes,yes
152,no,no
153,yes,no
154,no,no
155,yes,no
156,no,yes
157,yes,yes
158,no,no
159,yes,yes
160,no,no
161,yes,yes
162,yes,yes
163,no,no
164,yes,yes
165,yes,yes
166,yes,yes
167,yes,yes
168,yes,yes
169,yes,yes
170,yes,yes
171,yes,no
172,no,yes
173,yes,yes
174,no,no
175,yes,yes
176,no,no
177,yes,yes
178,no,no
179,yes,yes
180,no,no
181,yes,no
182,yes,yes
183,yes,no
184,no,no
185,yes,no
186,no,yes
187,yes,yes
188,yes,yes
189,no,no
190,yes,no
191,no,no
192,yes,yes
193,no,no
194,yes,yes
195,no,yes
196,no,no
197,yes,yes
198,no,no
199,yes,yes
200,no,no
201,yes,yes
202,no,no
203,yes,yes
204,no,yes
205,yes,no
206,no,no
207,yes,yes
208,no,no
209,yes,yes
210,no,no
211,yes,yes
212,no,no
213,yes,yes
214,no,no
215,yes,no
216,yes,yes
217,yes,no
218,yes,yes
219,no,no
220,yes,no
221,no,yes
222,yes,yes
223,no,no
224,no,no
225,yes,no
226,no,no
227,yes,yes
228,no,no
229,yes,yes
230,no,no
231,yes,yes
232,no,no
233,yes,yes
234,no,no
235,yes,yes
236,no,no
237,yes,yes
238,no,no
239,yes,yes
240,yes,yes
241,no,no
242,yes,yes
243,no,no
244,yes,yes
245,no,yes
246,no,no
247,yes,yes
248,no,no
249,yes,yes
250,no,no
251,yes,yes
252,no,no
253,yes,no
254,no,no
255,yes,yes
256,no,no
257,yes,yes
258,no,yes
259,yes,no
260,no,no
261,yes,yes
262,yes,yes
263,yes,yes
264,no,no
265,yes,yes
266,no,no
267,no,yes
268,yes,yes
269,no,no
270,yes,yes
271,no,no
