ID,Actual Answer,Generated Answer
0,yes,yes
1,yes,yes
2,no,yes
3,yes,yes
4,no,no
5,yes,yes
6,yes,yes
7,no,yes
8,yes,yes
9,no,yes
10,yes,yes
11,no,yes
12,yes,yes
13,no,yes
14,yes,yes
15,no,yes
16,yes,no
17,no,no
18,yes,yes
19,no,yes
20,yes,yes
21,no,yes
22,yes,yes
23,no,yes
24,yes,yes
25,no,yes
26,yes,yes
27,yes,no
28,no,no
29,yes,yes
30,no,yes
31,yes,yes
32,no,yes
33,yes,yes
34,yes,yes
35,no,yes
36,yes,yes
37,no,yes
38,yes,yes
39,no,yes
40,yes,yes
41,yes,yes
42,no,yes
43,no,yes
44,yes,yes
45,yes,yes
46,no,yes
47,yes,yes
48,no,yes
49,yes,yes
50,no,yes
51,no,yes
52,yes,yes
53,no,yes
54,no,no
55,no,yes
56,yes,yes
57,yes,no
58,yes,yes
59,no,yes
60,yes,yes
61,yes,no
62,no,no
63,yes,no
64,no,yes
65,no,yes
66,yes,yes
67,no,no
68,yes,yes
69,no,yes
70,yes,yes
71,no,no
72,yes,yes
73,no,yes
74,yes,yes
75,yes,yes
76,no,yes
77,yes,yes
78,no,yes
79,yes,yes
80,no,no
81,yes,no
82,no,yes
83,no,no
84,yes,no
85,no,no
86,yes,no
87,no,yes
88,yes,yes
89,no,no
90,yes,yes
91,no,yes
92,yes,yes
93,yes,yes
94,yes,yes
95,no,no
96,yes,yes
97,no,yes
98,yes,yes
99,no,yes
100,no,yes
101,yes,no
102,yes,no
103,yes,yes
104,yes,no
105,yes,yes
106,yes,yes
107,yes,no
108,no,no
109,yes,yes
110,no,no
111,yes,yes
112,yes,no
113,no,no
114,yes,yes
115,no,yes
116,no,yes
117,yes,no
118,no,yes
119,yes,yes
120,no,yes
121,yes,yes
122,no,yes
123,yes,yes
124,yes,no
125,no,yes
126,yes,yes
127,yes,yes
128,no,no
129,no,yes
130,yes,yes
131,no,yes
132,yes,yes
133,no,yes
134,yes,yes
135,no,yes
136,yes,yes
137,yes,yes
138,yes,yes
139,no,yes
140,yes,yes
141,yes,no
142,no,no
143,yes,no
144,no,yes
145,yes,yes
146,yes,no
147,no,yes
148,yes,yes
149,no,no
150,no,yes
151,yes,no
152,no,yes
153,yes,no
154,no,yes
155,yes,yes
156,no,yes
157,yes,no
158,no,yes
159,yes,yes
160,no,no
161,yes,no
162,yes,yes
163,no,yes
164,yes,no
165,yes,no
166,yes,no
167,yes,yes
168,yes,no
169,yes,no
170,yes,yes
171,yes,no
172,no,yes
173,yes,no
174,no,yes
175,yes,no
176,no,yes
177,yes,no
178,no,yes
179,yes,yes
180,no,no
181,yes,yes
182,yes,yes
183,yes,yes
184,no,yes
185,yes,yes
186,no,no
187,yes,yes
188,yes,yes
189,no,yes
190,yes,yes
191,no,yes
192,yes,yes
193,no,yes
194,yes,yes
195,no,yes
196,no,yes
197,yes,yes
198,no,yes
199,yes,yes
200,no,yes
201,yes,no
202,no,yes
203,yes,yes
204,no,yes
205,yes,yes
206,no,yes
207,yes,yes
208,no,no
209,yes,yes
210,no,yes
211,yes,no
212,no,yes
213,yes,yes
214,no,yes
215,yes,yes
216,yes,yes
217,yes,yes
218,yes,yes
219,no,yes
220,yes,yes
221,no,yes
222,yes,yes
223,no,no
224,no,yes
225,yes,yes
226,no,yes
227,yes,yes
228,no,yes
229,yes,yes
230,no,yes
231,yes,yes
232,no,yes
233,yes,yes
234,no,yes
235,yes,yes
236,no,no
237,yes,yes
238,no,yes
239,yes,yes
240,yes,yes
241,no,no
242,yes,yes
243,no,yes
244,yes,yes
245,no,yes
246,no,no
247,yes,no
